"id","timestamp","aud_cad","eur_usd","aud_jpy","nzd_usd","aud_usd","usd_jpy","usd_cad","usd_chf","eur_gbp","eur_jpy","eur_cad","gbp_jpy","eur_aud","aud_chf","eur_chf","chf_jpy","eur_nzd","gbp_aud","cad_chf","usd_pln","eur_pln","usd_mxn","eur_mxn","gbp_chf","aud_nzd","cad_jpy"
42,"2024-06-17 06:53:04","0.90647696","1.06965600","103.85313821","0.61127497","0.65963496","157.44031900","1.37421000","0.89072000","0.84434366","168.40698164","1.46993197","199.45312532","1.62158780","0.58755005","0.95276399","176.75624102","1.74987699","1.92053056","0.64816877","4.08814100","4.37290454","18.49234000","19.78044241","1.12840782","1.07911332","114.56787463"
43,"2024-06-17 06:54:05","0.90664793","1.06983337","103.87885674","0.61140577","0.65977858","157.44502800","1.37417000","0.89072000","0.84443018","168.43994544","1.47013293","199.47172594","1.62150365","0.58767798","0.95292198","176.76152775","1.74979272","1.92023413","0.64818763","4.08715000","4.37256947","18.49201400","19.78337372","1.12847930","1.07911735","114.57463633"
44,"2024-06-17 06:55:05","0.90667177","1.06982765","103.87152976","0.61145437","0.65981994","157.42405500","1.37412000","0.89067000","0.84436147","168.41660693","1.47007157","199.46031676","1.62139334","0.58768182","0.95286339","176.74790326","1.74964428","1.92025974","0.64817483","4.08520200","4.37046206","18.49079900","19.78196805","1.12850174","1.07909921","114.56354249"
45,"2024-06-17 06:56:03","0.90662333","1.06991922","103.86781838","0.61137587","0.65977988","157.42798600","1.37413000","0.89088000","0.84439095","168.43522816","1.47020810","199.47540705","1.62163056","0.58778470","0.95316964","176.71065239","1.75001872","1.92047364","0.64832294","4.08576500","4.37143851","18.49309000","19.78611245","1.12882503","1.07917227","114.56556949"
46,"2024-06-17 06:58:04","0.90660961","1.06990777","103.84395877","0.61139456","0.65976030","157.39649600","1.37415000","0.89084500","0.84436908","168.39973466","1.47021377","199.43853887","1.62166135","0.58774416","0.95312199","176.68224663","1.74994650","1.92055986","0.64828803","4.08451700","4.37005649","18.48785000","19.78029444","1.12879784","1.07910724","114.54098606"
47,"2024-06-17 06:58:04","0.90660961","1.06990777","103.84395877","0.61139456","0.65976030","157.39649600","1.37415000","0.89084500","0.84436908","168.39973466","1.47021377","199.43853887","1.62166135","0.58774416","0.95312199","176.68224663","1.74994650","1.92055986","0.64828803","4.08451700","4.37005649","18.48785000","19.78029444","1.12879784","1.07910724","114.54098606"
48,"2024-06-17 06:59:03","0.90652276","1.06972465","103.82676857","0.61135718","0.65973070","157.37750100","1.37408000","0.89089600","0.84438715","168.35059263","1.46988725","199.37607018","1.62145654","0.58775144","0.95301341","176.65081109","1.74975396","1.92027618","0.64835817","4.08565000","4.37052053","18.48769900","19.77674740","1.12864509","1.07912480","114.53299735"
49,"2024-06-17 07:00:04","0.90644891","1.06976471","103.78740230","0.61128618","0.65960015","157.34896700","1.37424000","0.89082500","0.84445086","168.32637130","1.47011345","199.33234564","1.62183818","0.58758830","0.95297314","176.63285943","1.75002273","1.92058324","0.64823102","4.08483700","4.36981445","18.49039000","19.78036661","1.12851225","1.07903659","114.49889903"
50,"2024-06-17 07:01:05","0.90684615","1.06986771","103.82625755","0.61153664","0.65987001","157.34350200","1.37428000","0.89079900","0.84430750","168.33673230","1.47029780","199.37846345","1.62133102","0.58781154","0.95303709","176.63187992","1.74947443","1.92030868","0.64819324","4.08394600","4.36928196","18.47769800","19.76869246","1.12877960","1.07903593","114.49158978"
51,"2024-06-17 07:02:05","0.90689800","1.06970177","103.81414443","0.61165633","0.65990005","157.31798200","1.37429600","0.89080100","0.84423003","168.28332335","1.47008686","199.33349636","1.62100573","0.58783963","0.95289140","176.60283498","1.74886077","1.92009959","0.64818714","4.08415300","4.36882568","18.47620300","19.76402700","1.12871063","1.07887389","114.47168732"
